desc id,3rd level of relatedness,In the Archive
gates-child.d.illbk.17,bb435.1.comdes.12,Yes
gates-sexes.d.illbk.17,bb435.1.comdes.12,Yes
but638.1.wc.01,butwba10.1.wc.11,Yes
but146.1.wc.01,but551.1.wc.02,Yes
but394.1.pt.01,but557.1.penc.29,Yes
but379.1.pt.01,but529.1.wc.09,Yes
but812.1.wc.71,"mhh.b.illbk.16,mhh.c.illbk.16,mhh.h.illbk.16,mhh.e.illbk.16,mhh.f.illbk.16,mhh.d.illbk.16,mhh.g.illbk.16,mhh.i.illbk.16",Yes
but812.1.wc.71,gates-child.d.illbk.14,Yes
but812.1.wc.71,gates-sexes.d.illbk.14,Yes
but146.1.wc.01,but557.1.penc.08,Yes
